Data Source,Platform/Station,URN,Lat,Lon,Observations,Status
,42894 - Lorris Bouzigard - Mississippi Canyon 199,urn:ioos:station:wmo:42894,28.77,-88.834,currents,Inactive
,42940 - West Neptune - Keathley Canyon 829,urn:ioos:station:wmo:42940,27.6913,-91.1141,currents,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
Louisiana Offshore Oil Port (LOOP),,,,,,
,LOPL1: Louisiana Offshore Oil Port,urn:ioos:station:wmo:lopl1,28.885,-90.025,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,waves,Inactive
,,,,,winds,Active
Louisiana Universities Marine Consortium (LUMCON),,,,,,
,"103: Western Lake Ponchartrain, LA",urn:ioos:station:LUMCON:103,30.1889,-90.1683,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterLevel,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"101: LUMCON Marine Center, LA",urn:ioos:station:LUMCON:101,29.2533,-90.6633,airPressure,Active
,,,,,airTemperature,Active
,,,,,chlorophyll,Active
,,,,,dissolvedOxygen,Active
,,,,,relativeHumidity,Active
,,,,,salinity,Active
,,,,,waterTemperature,Active
,,,,,winds,Active
,104: MissRiver-Audobon,urn:ioos:station:LUMCON:104,29.5526,-90.807,salinity,Inactive
,"105: Tambour Bay, LA",urn:ioos:station:LUMCON:105,29.1874,-90.6654,airTemperature,Inactive
,,,,,relativeHumidity,Inactive
,,,,,waterLevel,Inactive
,,,,,winds,Inactive
,"102: Terrebonne Bay, LA",urn:ioos:station:LUMCON:102,29.187,-90.6093,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,chlorophyll,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
,"Wisner Station at Port Fourchon, LA",urn:ioos:station:LUMCON:wisl1,29.1144,-90.184,airPressure,Inactive
,,,,,airTemperature,Inactive
,,,,,chlorophyll,Inactive
,,,,,dissolvedOxygen,Inactive
,,,,,relativeHumidity,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
,,,,,winds,Inactive
Maersk Developer (Maersk),,,,,,
,42915 - Maersk Developer - Green Canyon 726,urn:ioos:station:wmo:42915,28.01,-89.043,currents,Inactive
Marathon Oil (Marathon),,,,,,
,42911 - Ocean Monarch - Garden Banks 515,urn:ioos:station:wmo:42911,27.464,-92.433,currents,Inactive
Mariner Energy Inc (Mariner),,,,,,
,42870 - Ocean America - Green Canyon 505,urn:ioos:station:wmo:42870,27.458,-90.884,currents,Inactive
Marubeni Oil and Gas Inc (Marubeni),,,,,,
,42910 - Frontier Driller - Green Canyon 248,urn:ioos:station:wmo:42910,27.847,-90.719,currents,Inactive
,42928 - ENSCO 8505 - Mississippi Canyon 496,urn:ioos:station:wmo:42928,28.933,-88.575,currents,Inactive
,,,,,salinity,Inactive
,,,,,waterTemperature,Inactive
Murphy Exploration and Production Company (Murphy),,,,,,
,BW Pioneer buoy - C16471 - Walker Ridge 249,urn:ioos:station:wmo:42360,26.689,-90.459,airPressure,Active
,,,,,airTemperature,Active
,,,,,currents,Active
,,,,,waterTemperature,Active
,,,,,waves,Active
,,,,,winds,Active
,,,,,winds,Active
,42387 - Thunderhawk - Mississippi Canyon 734,urn:ioos:station:wmo:42387,28.267,-88.399,currents,Inactive
